Player TS 3PAr FTr ORB DRB TRB AST STL BLK TOV G
Josh Huestis 0.509 0.5 0.333 4.2 15 9.9 0 0.9 2.8 17.9 5
Kris Humphries 0.517 0.366 0.285 7.5 21.5 14.4 6.6 0.9 2.2 10.3 53
Kris Humphries 0.524 0.424 0.196 6.1 21.8 13.8 5 0.3 2.4 10.4 28
Kris Humphries 0.367 0.278 0.222 15.8 31.5 23.5 14.8 2 2.2 9.2 4
Kris Humphries 0.555 0.307 0.446 7.6 18.5 13.1 6.9 1.7 1.9 10.4 21
R.J. Hunter 0.48 0.643 0.071 0.7 12 6.2 5.9 2.2 1 9.8 36
Serge Ibaka 0.533 0.212 0.139 6.5 16.2 11.6 3.9 0.8 4.5 10.5 78
Andre Iguodala 0.565 0.418 0.226 3.4 12.4 8.2 16.3 2 0.8 16.3 65
Ersan Ilyasova 0.526 0.392 0.233 8.1 15.6 11.7 5.6 1.4 1.4 8.9 74
Ersan Ilyasova 0.53 0.423 0.215 7.3 14.5 10.7 6.1 1.3 1.4 9.6 52
Ersan Ilyasova 0.515 0.288 0.294 11 19.1 15 4 1.6 1.1 6.5 22
Joe Ingles 0.572 0.722 0.062 1.8 12.4 7.1 12.1 2.3 0.3 17.9 81
Damien Inglis 0.444 0.351 0.216 1.5 21.1 11.4 9 2 1.6 21.4 20
Kyrie Irving 0.54 0.298 0.217 3 7.6 5.3 26.6 1.7 0.9 11.4 53
Jarrett Jack 0.505 0.285 0.313 1 14.1 7.4 35 1.7 0.6 18.8 32
Reggie Jackson 0.535 0.268 0.271 2.5 9.1 5.7 36.3 1.2 0.3 13.8 79
LeBron James 0.588 0.199 0.347 4.7 18.8 11.8 36 2 1.5 13.2 76
Al Jefferson 0.507 0 0.22 5.6 24.6 15 11.8 1.4 3 5.8 47
Cory Jefferson 0.446 0.045 0.273 12.7 22.2 17.4 0 0 1.6 0 8
Richard Jefferson 0.585 0.554 0.279 1.3 9.6 5.5 6.4 1.3 0.9 10.9 74
John Jenkins 0.522 0.319 0.15 1.8 11.3 6.5 11.7 0.8 0.2 13.7 43
John Jenkins 0.466 0.271 0.129 2.3 10.2 6.3 7.6 0.8 0 12.9 21
John Jenkins 0.564 0.356 0.167 1.5 12 6.6 14.4 0.8 0.3 14.2 22
Brandon Jennings 0.491 0.51 0.257 2 10.4 6.1 29.2 1.7 0.7 14.4 48
Brandon Jennings 0.491 0.538 0.266 1.3 11.2 6 25.7 1.3 0.4 12.1 23
Brandon Jennings 0.49 0.484 0.248 2.7 9.7 6.1 32.4 2 0.9 16.4 25
Jonas Jerebko 0.531 0.378 0.273 6.8 19.4 13 7.4 0.8 1.6 14 78
Amir Johnson 0.602 0.101 0.284 10.3 19.6 14.9 11.4 1.4 3.6 16.4 79
Chris Johnson 0.482 0.51 0.216 3.7 14.3 9 8 2 2 15.8 70
James Johnson 0.532 0.275 0.283 3.5 11.9 7.8 11.4 1.6 2.9 16.7 57
Joe Johnson 0.538 0.364 0.165 2 10.2 6.1 18 1.1 0.1 14.7 81
Joe Johnson 0.512 0.377 0.178 1.9 11.2 6.5 18 1 0.1 15 57
Joe Johnson 0.603 0.335 0.135 2.3 7.6 5 17.9 1.4 0.2 13.9 24
Orlando Johnson 0.346 0.294 0.235 4.2 12.3 8.1 2.7 1.5 2.4 9.6 7
Orlando Johnson 0.407 0.294 0.353 6.8 14.2 10.4 0 2.1 5.2 4.8 2
Orlando Johnson 0.28 0.294 0.118 2 10.6 6.2 5.1 0.9 0 14.4 5
Stanley Johnson 0.46 0.342 0.17 3.6 16.7 9.9 10.8 1.6 0.5 15 73
Tyler Johnson 0.579 0.292 0.263 3.8 10.3 7.2 13.9 1.4 1.2 14.8 36
Wesley Johnson 0.513 0.6 0.089 2.5 13.6 8.1 4.4 2.7 2.6 9.2 80
Nikola Jokic 0.582 0.14 0.317 11.4 24.7 17.9 18.1 2.3 2.3 13.2 80
Dahntay Jones 0.464 0.143 0 2.7 10.7 6.7 7.3 1.2 3.9 0 1
